Tên sản phẩm,Giá sản phẩm,Kích thước màn hình,Độ phân giải màn hình,Ram,Bộ nhớ trong,CPU,Camera sau,Camera trước,Pin,Bluetooth,Link,Thể loại sản phẩm,Cửa hàng
iPhone XS 256GB,18.188.000 VNĐ,5.8inch,1125x2436Pixels,4GB,256GB,AppleA12Bionic6nhân,"12MP,f/1.8,28mm,1.4µm,OIS,PDAF12MP,f/2.4,52mm,1.0µm,OIS,PDAF,2xopticalzoom","7MP,f/2.2,32mm",2658mAh,"5.0,A2DP,LE",https://24hstore.vn/dien-thoai-iphone-xs/iphone-xs-256gb-p3371,IPHONE,24h STORE
iPhone 11 Pro 64GB Cũ,15.390.000 VNĐ,5.8inchSuperretinaXDR,2436x1125,4GB,64GB,A13Bionic,3camera(gócrộng12MP+gócsiêurộng12MP+tele12MP),12MP,"LâuhơniPhoneXS4tiếng,sạckhôngdây,sạcnhanh18W",,https://24hstore.vn/iphone-11-pro-cu/iphone-11-pro-64gb-cu-p4653,IPHONE,24h STORE
iPhone XS Max 64GB,16.988.000 VNĐ,,1242x2688pixels,4GB,64GB,AppleA12Bionic6nhân,"12MP,f/1.8,28mm,1.4µm,OIS,PDAF12MP,f/2.4,52mm,1.0µm,OIS,PDAF,2xopticalzoom","7MP,f/2.2,32mm",,"5.0,A2DP,LE",https://24hstore.vn/dien-thoai-iphone-xs-max/iphone-xs-max-p3366,IPHONE,24h STORE
iPhone 12 Mini 64GB,16.490.000 VNĐ,"5.4inches,71.9cm2(chiếmkhoảng85.1%thânmáy)","1080x2340pixels,19.5:9",4GB,64GB,AppleA14Bionic(5nm)6nhân,"cameragócrộng12MPƒ/1.6,cameragócsiêurộng12MPƒ/2.4",12MPƒ/2.2,Cóthểxemvideoliêntụctrong15giờ,"Bluetooth5.0,A2DP,LE",https://24hstore.vn/iphone-12-mini/iphone-12-mini-64gb-p5322,IPHONE,24h STORE
iPhone 11 Pro 64GB,21.890.000 VNĐ,5.8inchSuperretinaXDR,2436x1125,4GB,64GB,A13Bionic,3camera(gócrộng12MP+gócsiêurộng12MP+tele12MP),12MP,"LâuhơniPhoneXS4tiếng,sạckhôngdây,sạcnhanh18W",,https://24hstore.vn/iphone-11-pro/iphone-11-pro-p4285,IPHONE,24h STORE
iPhone 12 256GB Cũ,21.590.000 VNĐ,"6.1inches,90.2cm2(chiếmkhoảng86.0%thânmáy)","1170x2532pixels,19.5:9",4GB,256GB,AppleA14Bionic(5nm)(6nhân),"cameragócrộng12MPƒ/1.6,cameragócsiêurộng12MPƒ/2.4",12MPƒ/2.2,Cóthểxemvideoliêntụctrong17giờ,"Bluetooth5.0,A2DP,LE",https://24hstore.vn/iphone-12-cu/iphone-12-256gb-cu-p5670,IPHONE,24h STORE
iPhone 11 Pro Max 256GB Cũ,20.290.000 VNĐ,6.5inch,2688x1242,4GB,256GB,A13Bionic,"3camera12MP(rộng,siêurộng,tele)",12MP,"Kéodàihơntới5giờsovớiiPhoneXSMax,sạcnhanh18W",,https://24hstore.vn/iphone-11-pro-max-cu/iphone-11-pro-max-256gb-cu-p4662,IPHONE,24h STORE
iPhone 11 64GB,15.290.000 VNĐ,6.1inch,1792x828,4GB,64GB,chipA13Bionic,2camera(gócrộng12MP+gócsiêurộng12MP),12MP,"Hơn1giờsovớiXR,sạckhôngdây,sạcnhanh18W",,https://24hstore.vn/iphone-11/iphone-11-64gb-p4296,IPHONE,24h STORE
iPhone 11 Pro Max 64GB Cũ,18.190.000 VNĐ,6.5inch,2688x1242,4GB,64GB,ChipA13Bionic,"3camera12MP(rộng,siêurộng,tele)",12MP,"Kéodàihơntới5giờsovớiiPhoneXSMax,sạcnhanh18W",,https://24hstore.vn/iphone-11-pro-max-cu/iphone-11-pro-max-64gb-cu-p4661,IPHONE,24h STORE
iPhone 11 Pro 256GB Cũ,17.490.000 VNĐ,5.8inchSuperretinaXDR,2436x1125,4GB,256GB,A13Bionic,3camera(gócrộng12MP+gócsiêurộng12MP+tele12MP),12MP,"LâuhơniPhoneXS4tiếng,sạckhôngdây,sạcnhanh18W",,https://24hstore.vn/iphone-11-pro-cu/iphone-11-pro-256gb-cu-p4656,IPHONE,24h STORE
iPhone XS Max 512GB,19.288.000 VNĐ,,1242x2688pixels,4GB,512GB,AppleA12Bionic6nhân,"12MP,f/1.8,28mm,1.4µm,OIS,PDAF12MP,f/2.4,52mm,1.0µm,OIS,PDAF,2xopticalzoom","7MP,f/2.2,32mm",,"5.0,A2DP,LE",https://24hstore.vn/dien-thoai-iphone-xs-max/iphone-xs-max-512gb-p3370,IPHONE,24h STORE
iPhone 12 64GB Cũ,16.990.000 VNĐ,"6.1inches,90.2cm2(chiếmkhoảng86.0%thânmáy)","1170x2532pixels,19.5:9",4GB,64GB,AppleA14Bionic(5nm)(6nhân),"cameragócrộng12MPƒ/1.6,cameragócsiêurộng12MPƒ/2.4",12MPƒ/2.2,Cóthểxemvideoliêntụctrong17giờ,"Bluetooth5.0,A2DP,LE",https://24hstore.vn/iphone-12-cu/iphone-12-cu-p5672,IPHONE,24h STORE
iPhone 12 128GB Cũ,18.988.000 VNĐ,"6.1inches,90.2cm2(chiếmkhoảng86.0%thânmáy)","1170x2532pixels,19.5:9",4GB,128GB,AppleA14Bionic(5nm)(6nhân),"cameragócrộng12MPƒ/1.6,cameragócsiêurộng12MPƒ/2.4",12MPƒ/2.2,Cóthểxemvideoliêntụctrong17giờ,"Bluetooth5.0,A2DP,LE",https://24hstore.vn/iphone-12-cu/iphone-12-128gb-cu-p5671,IPHONE,24h STORE
iPhone XS Max 256GB,18.488.000 VNĐ,,1242x2688pixels,4GB,256GB,AppleA12Bionic6nhân,"12MP,f/1.8,28mm,1.4µm,OIS,PDAF12MP,f/2.4,52mm,1.0µm,OIS,PDAF,2xopticalzoom","7MP,f/2.2,32mm",,"5.0,A2DP,LE",https://24hstore.vn/dien-thoai-iphone-xs-max/iphone-xs-max-256gb-p3369,IPHONE,24h STORE
iPhone 11 Pro 256GB Đã Active - Fullbox,18.390.000 VNĐ,5.8inchSuperretinaXDR,2436x1125,4GB,256GB,A13Bionic,3camera(gócrộng12MP+gócsiêurộng12MP+tele12MP),12MP,"LâuhơniPhoneXS4tiếng,sạckhôngdây,sạcnhanh18W",,https://24hstore.vn/iphone-11-pro-cu/iphone-11-pro-256gb-da-active-p4659,IPHONE,24h STORE
iPhone XS 256GB,18.188.000 VNĐ,5.8inch,1125x2436Pixels,4GB,256GB,AppleA12Bionic6nhân,"12MP,f/1.8,28mm,1.4µm,OIS,PDAF12MP,f/2.4,52mm,1.0µm,OIS,PDAF,2xopticalzoom","7MP,f/2.2,32mm",2658mAh,"5.0,A2DP,LE",https://24hstore.vn/dien-thoai-iphone-xs/iphone-xs-256gb-p3371,IPHONE,24h STORE
iPhone 11 Pro 64GB Cũ,15.390.000 VNĐ,5.8inchSuperretinaXDR,2436x1125,4GB,64GB,A13Bionic,3camera(gócrộng12MP+gócsiêurộng12MP+tele12MP),12MP,"LâuhơniPhoneXS4tiếng,sạckhôngdây,sạcnhanh18W",,https://24hstore.vn/iphone-11-pro-cu/iphone-11-pro-64gb-cu-p4653,IPHONE,24h STORE
iPhone XS Max 64GB,16.988.000 VNĐ,,1242x2688pixels,4GB,64GB,AppleA12Bionic6nhân,"12MP,f/1.8,28mm,1.4µm,OIS,PDAF12MP,f/2.4,52mm,1.0µm,OIS,PDAF,2xopticalzoom","7MP,f/2.2,32mm",,"5.0,A2DP,LE",https://24hstore.vn/dien-thoai-iphone-xs-max/iphone-xs-max-p3366,IPHONE,24h STORE
iPhone 12 Mini 64GB,16.490.000 VNĐ,"5.4inches,71.9cm2(chiếmkhoảng85.1%thânmáy)","1080x2340pixels,19.5:9",4GB,64GB,AppleA14Bionic(5nm)6nhân,"cameragócrộng12MPƒ/1.6,cameragócsiêurộng12MPƒ/2.4",12MPƒ/2.2,Cóthểxemvideoliêntụctrong15giờ,"Bluetooth5.0,A2DP,LE",https://24hstore.vn/iphone-12-mini/iphone-12-mini-64gb-p5322,IPHONE,24h STORE
iPhone 11 Pro 64GB,21.890.000 VNĐ,5.8inchSuperretinaXDR,2436x1125,4GB,64GB,A13Bionic,3camera(gócrộng12MP+gócsiêurộng12MP+tele12MP),12MP,"LâuhơniPhoneXS4tiếng,sạckhôngdây,sạcnhanh18W",,https://24hstore.vn/iphone-11-pro/iphone-11-pro-p4285,IPHONE,24h STORE
iPhone 12 256GB Cũ,21.590.000 VNĐ,"6.1inches,90.2cm2(chiếmkhoảng86.0%thânmáy)","1170x2532pixels,19.5:9",4GB,256GB,AppleA14Bionic(5nm)(6nhân),"cameragócrộng12MPƒ/1.6,cameragócsiêurộng12MPƒ/2.4",12MPƒ/2.2,Cóthểxemvideoliêntụctrong17giờ,"Bluetooth5.0,A2DP,LE",https://24hstore.vn/iphone-12-cu/iphone-12-256gb-cu-p5670,IPHONE,24h STORE
iPhone 11 Pro Max 256GB Cũ,20.290.000 VNĐ,6.5inch,2688x1242,4GB,256GB,A13Bionic,"3camera12MP(rộng,siêurộng,tele)",12MP,"Kéodàihơntới5giờsovớiiPhoneXSMax,sạcnhanh18W",,https://24hstore.vn/iphone-11-pro-max-cu/iphone-11-pro-max-256gb-cu-p4662,IPHONE,24h STORE
iPhone 11 64GB,15.290.000 VNĐ,6.1inch,1792x828,4GB,64GB,chipA13Bionic,2camera(gócrộng12MP+gócsiêurộng12MP),12MP,"Hơn1giờsovớiXR,sạckhôngdây,sạcnhanh18W",,https://24hstore.vn/iphone-11/iphone-11-64gb-p4296,IPHONE,24h STORE
iPhone 11 Pro Max 64GB Cũ,18.190.000 VNĐ,6.5inch,2688x1242,4GB,64GB,ChipA13Bionic,"3camera12MP(rộng,siêurộng,tele)",12MP,"Kéodàihơntới5giờsovớiiPhoneXSMax,sạcnhanh18W",,https://24hstore.vn/iphone-11-pro-max-cu/iphone-11-pro-max-64gb-cu-p4661,IPHONE,24h STORE
iPhone 11 Pro 256GB Cũ,17.490.000 VNĐ,5.8inchSuperretinaXDR,2436x1125,4GB,256GB,A13Bionic,3camera(gócrộng12MP+gócsiêurộng12MP+tele12MP),12MP,"LâuhơniPhoneXS4tiếng,sạckhôngdây,sạcnhanh18W",,https://24hstore.vn/iphone-11-pro-cu/iphone-11-pro-256gb-cu-p4656,IPHONE,24h STORE
iPhone XS Max 512GB,19.288.000 VNĐ,,1242x2688pixels,4GB,512GB,AppleA12Bionic6nhân,"12MP,f/1.8,28mm,1.4µm,OIS,PDAF12MP,f/2.4,52mm,1.0µm,OIS,PDAF,2xopticalzoom","7MP,f/2.2,32mm",,"5.0,A2DP,LE",https://24hstore.vn/dien-thoai-iphone-xs-max/iphone-xs-max-512gb-p3370,IPHONE,24h STORE
iPhone 12 64GB Cũ,16.990.000 VNĐ,"6.1inches,90.2cm2(chiếmkhoảng86.0%thânmáy)","1170x2532pixels,19.5:9",4GB,64GB,AppleA14Bionic(5nm)(6nhân),"cameragócrộng12MPƒ/1.6,cameragócsiêurộng12MPƒ/2.4",12MPƒ/2.2,Cóthểxemvideoliêntụctrong17giờ,"Bluetooth5.0,A2DP,LE",https://24hstore.vn/iphone-12-cu/iphone-12-cu-p5672,IPHONE,24h STORE
iPhone 12 128GB Cũ,18.988.000 VNĐ,"6.1inches,90.2cm2(chiếmkhoảng86.0%thânmáy)","1170x2532pixels,19.5:9",4GB,128GB,AppleA14Bionic(5nm)(6nhân),"cameragócrộng12MPƒ/1.6,cameragócsiêurộng12MPƒ/2.4",12MPƒ/2.2,Cóthểxemvideoliêntụctrong17giờ,"Bluetooth5.0,A2DP,LE",https://24hstore.vn/iphone-12-cu/iphone-12-128gb-cu-p5671,IPHONE,24h STORE
iPhone XS Max 256GB,18.488.000 VNĐ,,1242x2688pixels,4GB,256GB,AppleA12Bionic6nhân,"12MP,f/1.8,28mm,1.4µm,OIS,PDAF12MP,f/2.4,52mm,1.0µm,OIS,PDAF,2xopticalzoom","7MP,f/2.2,32mm",,"5.0,A2DP,LE",https://24hstore.vn/dien-thoai-iphone-xs-max/iphone-xs-max-256gb-p3369,IPHONE,24h STORE
iPhone 11 Pro 256GB Đã Active - Fullbox,18.390.000 VNĐ,5.8inchSuperretinaXDR,2436x1125,4GB,256GB,A13Bionic,3camera(gócrộng12MP+gócsiêurộng12MP+tele12MP),12MP,"LâuhơniPhoneXS4tiếng,sạckhôngdây,sạcnhanh18W",,https://24hstore.vn/iphone-11-pro-cu/iphone-11-pro-256gb-da-active-p4659,IPHONE,24h STORE
iPhone XS 256GB,18.188.000 VNĐ,5.8inch,1125x2436Pixels,4GB,256GB,AppleA12Bionic6nhân,"12MP,f/1.8,28mm,1.4µm,OIS,PDAF12MP,f/2.4,52mm,1.0µm,OIS,PDAF,2xopticalzoom","7MP,f/2.2,32mm",2658mAh,"5.0,A2DP,LE",https://24hstore.vn/dien-thoai-iphone-xs/iphone-xs-256gb-p3371,IPHONE,24h STORE
iPhone 11 Pro 64GB Cũ,15.390.000 VNĐ,5.8inchSuperretinaXDR,2436x1125,4GB,64GB,A13Bionic,3camera(gócrộng12MP+gócsiêurộng12MP+tele12MP),12MP,"LâuhơniPhoneXS4tiếng,sạckhôngdây,sạcnhanh18W",,https://24hstore.vn/iphone-11-pro-cu/iphone-11-pro-64gb-cu-p4653,IPHONE,24h STORE
iPhone XS Max 64GB,16.988.000 VNĐ,,1242x2688pixels,4GB,64GB,AppleA12Bionic6nhân,"12MP,f/1.8,28mm,1.4µm,OIS,PDAF12MP,f/2.4,52mm,1.0µm,OIS,PDAF,2xopticalzoom","7MP,f/2.2,32mm",,"5.0,A2DP,LE",https://24hstore.vn/dien-thoai-iphone-xs-max/iphone-xs-max-p3366,IPHONE,24h STORE
